,start,stop,avg,area
101,2019-11-28 10:20:03.700,2019-11-28 10:20:08.500,15.848076923076926,824.1000000000003
102,2019-11-28 10:20:15.700,2019-11-28 10:20:18.900,13.904324324324325,514.4599999999998
103,2019-11-28 10:20:27.100,2019-11-28 10:20:31.600,13.65294117647059,696.3000000000006
104,2019-11-28 10:20:57.700,2019-11-28 10:21:01.000,9.299210526315795,353.3700000000001
105,2019-11-28 10:21:08.200,2019-11-28 10:21:13.500,15.269827586206896,885.6500000000001
106,2019-11-28 10:21:20.900,2019-11-28 10:21:24.000,13.334411764705882,453.3700000000002
107,2019-11-28 10:21:32.200,2019-11-28 10:21:36.700,13.259795918367347,649.7299999999994
108,2019-11-28 10:22:02.600,2019-11-28 10:22:06.000,10.679210526315787,405.8099999999998
109,2019-11-28 10:22:13.800,2019-11-28 10:22:18.600,16.13307692307692,838.9200000000004
110,2019-11-28 10:22:26.300,2019-11-28 10:22:29.500,10.620285714285714,371.7099999999999
111,2019-11-28 10:22:37.000,2019-11-28 10:22:42.000,15.747037037037035,850.3399999999998
112,2019-11-28 10:23:07.600,2019-11-28 10:23:10.800,10.406216216216219,385.03
113,2019-11-28 10:23:18.600,2019-11-28 10:23:23.500,13.139090909090907,722.65
114,2019-11-28 10:23:31.100,2019-11-28 10:23:34.300,12.591081081081079,465.8699999999999
115,2019-11-28 10:23:42.100,2019-11-28 10:23:47.000,13.912545454545452,765.1900000000002
116,2019-11-28 10:24:12.900,2019-11-28 10:24:16.000,9.195405405405406,340.22999999999996
117,2019-11-28 10:24:23.300,2019-11-28 10:24:28.700,15.453666666666665,927.2200000000006
118,2019-11-28 10:24:36.200,2019-11-28 10:24:39.200,11.80411764705882,401.3400000000001
119,2019-11-28 10:24:47.000,2019-11-28 10:24:52.200,14.883571428571429,833.4799999999998
120,2019-11-28 10:25:17.800,2019-11-28 10:25:20.400,10.712142857142855,299.94000000000005
121,2019-11-28 10:25:28.600,2019-11-28 10:25:33.400,16.539607843137254,843.5200000000002
122,2019-11-28 10:25:41.100,2019-11-28 10:25:44.000,11.220882352941178,381.50999999999993
123,2019-11-28 10:25:51.500,2019-11-28 10:25:57.200,12.427419354838706,770.4999999999998
124,2019-11-28 10:26:23.000,2019-11-28 10:26:25.500,9.498333333333335,284.95000000000005
125,2019-11-28 10:26:34.200,2019-11-28 10:26:38.600,15.011489361702127,705.5399999999998
126,2019-11-28 10:26:46.000,2019-11-28 10:26:48.900,14.936969696969697,492.92
127,2019-11-28 10:26:56.700,2019-11-28 10:27:01.600,15.65830188679245,829.8900000000002
128,2019-11-28 10:27:27.300,2019-11-28 10:27:30.800,13.20794871794872,515.11
129,2019-11-28 10:27:38.300,2019-11-28 10:27:44.200,14.58412698412698,918.7999999999993
130,2019-11-28 10:27:50.800,2019-11-28 10:27:54.100,11.960256410256415,466.45000000000016
131,2019-11-28 10:28:01.900,2019-11-28 10:28:06.700,13.25596153846154,689.3100000000002
132,2019-11-28 10:28:32.400,2019-11-28 10:28:35.700,12.225135135135133,452.3300000000001
133,2019-11-28 10:28:43.300,2019-11-28 10:28:49.000,13.347666666666669,800.8600000000001
134,2019-11-28 10:28:56.200,2019-11-28 10:28:59.200,10.286060606060605,339.4399999999998
135,2019-11-28 10:29:06.800,2019-11-28 10:29:11.800,15.655535714285715,876.71
136,2019-11-28 10:29:37.400,2019-11-28 10:29:40.700,12.534864864864863,463.78999999999996
137,2019-11-28 10:29:48.400,2019-11-28 10:29:53.900,13.448688524590168,820.3700000000009
138,2019-11-28 10:30:00.900,2019-11-28 10:30:04.000,13.245277777777778,476.8299999999999
139,2019-11-28 10:30:11.600,2019-11-28 10:30:16.400,13.336111111111112,720.1500000000004
140,2019-11-28 10:30:42.400,2019-11-28 10:30:45.600,13.29205882352941,451.93
141,2019-11-28 10:30:53.300,2019-11-28 10:30:58.000,16.240784313725488,828.2799999999994
142,2019-11-28 10:31:05.700,2019-11-28 10:31:09.300,9.61390243902439,394.16999999999985
143,2019-11-28 10:31:16.800,2019-11-28 10:31:21.900,10.387719298245617,592.1000000000001
144,2019-11-28 10:31:47.000,2019-11-28 10:31:50.300,11.23891891891892,415.84000000000015
145,2019-11-28 10:31:57.800,2019-11-28 10:32:03.200,14.073793103448276,816.2799999999996
146,2019-11-28 10:32:10.900,2019-11-28 10:32:13.900,10.579999999999998,359.7199999999999
147,2019-11-28 10:32:21.300,2019-11-28 10:32:26.300,14.186851851851852,766.0899999999999
148,2019-11-28 10:32:52.100,2019-11-28 10:32:55.500,11.381621621621623,421.11999999999995
149,2019-11-28 10:33:03.000,2019-11-28 10:33:08.000,18.060000000000006,975.2399999999999
150,2019-11-28 10:33:16.100,2019-11-28 10:33:18.600,11.149642857142856,312.19000000000005
151,2019-11-28 10:33:26.600,2019-11-28 10:33:31.600,13.276071428571429,743.46
152,2019-11-28 10:33:56.700,2019-11-28 10:34:00.400,11.932926829268293,489.25000000000017
153,2019-11-28 10:34:07.800,2019-11-28 10:34:12.700,14.624339622641507,775.09
154,2019-11-28 10:34:20.300,2019-11-28 10:34:23.200,11.925,381.59999999999997
155,2019-11-28 10:34:31.400,2019-11-28 10:34:35.800,14.264893617021277,670.4499999999998
156,2019-11-28 10:35:01.800,2019-11-28 10:35:05.100,11.96361111111111,430.6899999999999
157,2019-11-28 10:35:12.800,2019-11-28 10:35:18.000,15.488392857142859,867.3500000000001
158,2019-11-28 10:35:25.700,2019-11-28 10:35:28.700,9.852857142857141,344.84999999999985
159,2019-11-28 10:35:36.200,2019-11-28 10:35:41.100,14.693207547169811,778.7399999999997
160,2019-11-28 10:36:06.600,2019-11-28 10:36:09.800,13.506176470588237,459.21000000000004
161,2019-11-28 10:36:17.400,2019-11-28 10:36:22.500,15.163035714285714,849.1300000000005
162,2019-11-28 10:36:30.000,2019-11-28 10:36:33.000,12.364545454545455,408.03000000000014
163,2019-11-28 10:36:40.600,2019-11-28 10:36:45.600,16.40509433962264,869.4699999999996
164,2019-11-28 10:37:11.800,2019-11-28 10:37:14.900,10.527027027027028,389.5
165,2019-11-28 10:37:22.800,2019-11-28 10:37:27.700,14.397818181818185,791.8799999999998
166,2019-11-28 10:37:35.700,2019-11-28 10:37:38.500,11.145625,356.65999999999985
167,2019-11-28 10:37:45.700,2019-11-28 10:37:50.800,17.508363636363637,962.9599999999999
168,2019-11-28 10:38:16.800,2019-11-28 10:38:19.900,11.815757575757575,389.92
169,2019-11-28 10:38:27.700,2019-11-28 10:38:32.600,15.3211320754717,812.0200000000001
170,2019-11-28 10:38:40.500,2019-11-28 10:38:43.800,10.51972222222222,378.71000000000004
171,2019-11-28 10:38:51.100,2019-11-28 10:38:56.000,14.504629629629628,783.2499999999999
172,2019-11-28 10:39:22.000,2019-11-28 10:39:25.100,11.870833333333332,427.3499999999999
173,2019-11-28 10:39:32.700,2019-11-28 10:39:38.000,12.212666666666667,732.7599999999999
174,2019-11-28 10:39:45.600,2019-11-28 10:39:48.600,12.205,390.56000000000006
175,2019-11-28 10:39:56.800,2019-11-28 10:40:01.300,13.478235294117649,687.3900000000001
176,2019-11-28 10:40:27.000,2019-11-28 10:40:29.900,11.039090909090909,364.29
177,2019-11-28 10:40:37.800,2019-11-28 10:40:42.700,14.854615384615384,772.4399999999999
178,2019-11-28 10:40:50.400,2019-11-28 10:40:53.700,13.554571428571428,474.4100000000001
179,2019-11-28 10:41:01.700,2019-11-28 10:41:06.100,15.953125,765.7500000000005
180,2019-11-28 10:41:31.900,2019-11-28 10:41:35.700,10.616341463414633,435.27000000000004
181,2019-11-28 10:41:42.900,2019-11-28 10:41:48.100,14.851272727272725,816.82
182,2019-11-28 10:41:55.500,2019-11-28 10:41:58.700,13.299714285714286,465.4899999999999
183,2019-11-28 10:42:06.800,2019-11-28 10:42:11.400,15.695714285714287,769.09
184,2019-11-28 10:42:36.800,2019-11-28 10:42:39.900,10.571944444444442,380.5899999999998
185,2019-11-28 10:42:47.800,2019-11-28 10:42:52.900,15.722037037037039,848.9899999999997
186,2019-11-28 10:43:00.500,2019-11-28 10:43:03.500,12.9821875,415.43
187,2019-11-28 10:43:11.800,2019-11-28 10:43:16.200,16.118541666666665,773.6900000000003
188,2019-11-28 10:43:41.600,2019-11-28 10:43:44.900,10.757631578947368,408.78999999999996
189,2019-11-28 10:43:52.600,2019-11-28 10:43:57.700,14.395471698113209,762.96
190,2019-11-28 10:44:05.400,2019-11-28 10:44:08.600,11.35764705882353,386.1599999999999
191,2019-11-28 10:44:16.000,2019-11-28 10:44:21.000,15.725471698113209,833.4500000000002
192,2019-11-28 10:44:44.000,2019-11-28 10:44:47.300,11.256216216216215,416.48000000000013
193,2019-11-28 10:44:55.000,2019-11-28 10:45:00.000,16.316545454545455,897.4100000000003
194,2019-11-28 10:45:07.700,2019-11-28 10:45:10.700,14.481818181818182,477.9000000000001
195,2019-11-28 10:45:18.500,2019-11-28 10:45:23.600,15.15363636363636,833.4499999999996
196,2019-11-28 10:45:51.600,2019-11-28 10:45:54.900,11.822,413.77
197,2019-11-28 10:46:02.700,2019-11-28 10:46:07.700,15.511111111111111,837.6
198,2019-11-28 10:46:15.200,2019-11-28 10:46:18.500,11.454054054054057,423.8
199,2019-11-28 10:46:26.100,2019-11-28 10:46:31.000,15.585471698113205,826.0299999999997
200,2019-11-28 10:46:56.700,2019-11-28 10:46:59.800,12.36969696969697,408.2
201,2019-11-28 10:47:07.500,2019-11-28 10:47:12.500,15.441785714285714,864.7399999999999
202,2019-11-28 10:47:20.100,2019-11-28 10:47:23.500,11.955135135135134,442.3399999999999
